Date,YuukiIndex
2024-03-19,12386.37
2024-03-21,12600.83
2024-03-22,12612.08
2024-03-25,12432.85
2024-03-26,12424.5
2024-03-27,12455.75
2024-03-28,12383.41
2024-03-29,12374.26
2024-04-01,12427.44
2024-04-02,12436.38
2024-04-03,12120.95
2024-04-04,12085.4
2024-04-05,11715.57
2024-04-08,11829.05
2024-04-09,11813.52
2024-04-10,11777.15
2024-04-11,11720.62
2024-04-12,11598.34
2024-04-15,11513.34
2024-04-16,11474.48
2024-04-17,11340.16
2024-04-18,11411.57
2024-04-19,11142.84
2024-04-22,11356.37
2024-04-23,11477.11
2024-04-24,11709.63
2024-04-25,11485.73
2024-04-26,11947.0
2024-04-30,12078.32
2024-05-01,11972.88
2024-05-02,11951.95
2024-05-07,12232.34
2024-05-08,11992.97
2024-05-09,11975.19
2024-05-10,12186.14
2024-05-13,12233.52
2024-05-14,12324.53
2024-05-15,12233.61
2024-05-16,12558.5
2024-05-17,12498.46
2024-05-20,12503.1
2024-05-21,12328.51
2024-05-22,12296.88
2024-05-23,12447.76
2024-05-24,12265.56
2024-05-27,12263.02
2024-05-28,12160.63
2024-05-29,12041.8
2024-05-30,11948.92
2024-05-31,12113.09
2024-06-03,12264.49
2024-06-04,12263.01
2024-06-05,12138.79
2024-06-06,12083.73
2024-06-07,12076.33
2024-06-10,12219.88
2024-06-11,12205.08
2024-06-12,11999.65
2024-06-13,12011.58
2024-06-14,11965.61
2024-06-17,11812.19
2024-06-18,11853.86
2024-06-19,11967.61
2024-06-20,11970.56
2024-06-21,12089.44
2024-06-24,12066.59
2024-06-25,12187.06
2024-06-26,12359.61
2024-06-27,12114.28
2024-06-28,12113.46
2024-07-01,12128.62
2024-07-02,12235.62
2024-07-03,12427.95
2024-07-04,12492.4
2024-07-05,12478.03
2024-07-08,12517.68
2024-07-09,12855.69
2024-07-10,12902.35
2024-07-11,13088.93
2024-07-12,12703.72
2024-07-16,12626.16
2024-07-17,12583.43
2024-07-18,12329.36
2024-07-19,12419.81
2024-07-22,12228.32
2024-07-23,12104.37
2024-07-24,12044.83
2024-07-25,11593.07
2024-07-26,11709.33
2024-07-29,11718.66
2024-07-30,11698.56
2024-07-31,11793.08
2024-08-01,11545.64
2024-08-02,10984.39
2024-08-05,9769.87
2024-08-06,10982.77
2024-08-07,10843.28
2024-08-08,10717.85
2024-08-09,10686.46
2024-08-13,11229.18
2024-08-14,11394.12
2024-08-15,11254.43
2024-08-16,11656.29
2024-08-19,11543.37
2024-08-20,11830.41
2024-08-21,11937.23
2024-08-22,12080.83
2024-08-23,12221.95
2024-08-26,12208.55
2024-08-27,12257.9
2024-08-28,12212.04
2024-08-29,12264.02
2024-08-30,12221.88
2024-09-02,12264.22
2024-09-03,12298.62
2024-09-04,11942.65
2024-09-05,11714.01
2024-09-06,11472.3
2024-09-09,11476.43
2024-09-10,11371.87
2024-09-11,11285.19
2024-09-12,11674.31
2024-09-13,11619.18
2024-09-17,11606.79
2024-09-18,11689.26
2024-09-19,11946.12
2024-09-20,12236.86
2024-09-24,12291.16
2024-09-25,12224.56
2024-09-26,12567.19
2024-09-27,12789.23
2024-09-30,12353.98
2024-10-01,12547.6
2024-10-02,12288.13
2024-10-03,12488.55
2024-10-04,12548.42
2024-10-07,12724.92
2024-10-08,12499.59
2024-10-09,12659.02
2024-10-10,12693.4
2024-10-11,12868.6
2024-10-15,12816.75
2024-10-16,12599.02
2024-10-17,12405.39
2024-10-18,12536.68
2024-10-21,12578.74
2024-10-22,12297.66
2024-10-23,12152.85
2024-10-24,12109.71
2024-10-25,12089.29
2024-10-28,12301.21
2024-10-29,12355.45
2024-10-30,12561.41
2024-10-31,12504.34
2024-11-01,12188.33
2024-11-05,12348.16
2024-11-06,12514.46
2024-11-07,12302.67
2024-11-08,12416.94
2024-11-11,12325.96
2024-11-12,12242.51
2024-11-13,11977.57
2024-11-14,12028.82
2024-11-15,12183.88
2024-11-18,12050.38
2024-11-19,12088.71
2024-11-20,12044.66
2024-11-21,12008.64
2024-11-22,12046.98
2024-11-25,12306.92
2024-11-26,12269.93
2024-11-27,12125.57
2024-11-28,12249.24
2024-11-29,12200.78
2024-12-02,12204.01
2024-12-03,12442.39
2024-12-04,12501.99
2024-12-05,12495.34
2024-12-06,12375.84
2024-12-09,12470.03
2024-12-10,12555.59
2024-12-11,12541.59
2024-12-12,12638.67
2024-12-13,12401.94
2024-12-16,12344.2
2024-12-17,12451.58
2024-12-18,12341.2
2024-12-19,12340.82
2024-12-20,12294.03
2024-12-23,12312.81
2024-12-24,12261.86
2024-12-25,12255.92
2024-12-26,12363.69
2024-12-27,12595.82
2024-12-30,12516.66
2025-01-06,12208.66
2025-01-07,12459.67
2025-01-08,12336.07
2025-01-09,12194.28
2025-01-10,11986.29
2025-01-14,11771.36
2025-01-15,12027.51
2025-01-16,12059.28
2025-01-17,12132.84
2025-01-20,12287.96
2025-01-21,12302.99
2025-01-22,12393.5
2025-01-23,12472.29
2025-01-24,12539.26
2025-01-27,12538.23
2025-01-28,12564.63
2025-01-29,12666.37
2025-01-30,12508.29
2025-01-31,12578.59
2025-02-03,12082.6
2025-02-04,11920.49
2025-02-05,11953.1
2025-02-06,12020.75
2025-02-07,11974.99
2025-02-10,11880.43
2025-02-12,12020.87
2025-02-13,12225.28
2025-02-14,12107.44
2025-02-17,12228.05
2025-02-18,12182.75
