Date,6701.T,6758.T,9983.T,7974.T,6702.T,6861.T,6367.T,9843.T,8113.T,6594.T
2025-01-29,2666.14697265625,3464.712890625,49714.74609375,10078.8056640625,2879.3203125,68576.1953125,18528.50390625,3611.9794921875,1229.3460693359375,2721.94921875
2025-01-30,2602.6435546875,3432.889892578125,50110.484375,10311.2412109375,2892.207763671875,66512.2578125,18017.77734375,3652.541259765625,1215.46630859375,2688.7001953125
2025-01-31,3080.903076171875,3420.956298828125,50486.4375,10118.3681640625,2991.836669921875,66730.5546875,18042.333984375,3595.1611328125,1204.5609130859375,2669.346435546875
2025-02-03,3035.260009765625,3361.28857421875,48675.9296875,10063.96875,3023.55908203125,63108.75,17457.947265625,3519.973388671875,1164.904541015625,2534.365478515625
2025-02-04,3027.322021484375,3455.762451171875,47686.58203125,10286.513671875,3023.55908203125,61521.109375,17708.396484375,3459.62548828125,1150.529052734375,2541.31298828125
2025-02-05,2986.64013671875,3493.55224609375,47726.15625,10583.240234375,3019.59375,61878.328125,17443.212890625,3458.635986328125,1153.9990234375,2540.81689453125
2025-02-06,3061.05810546875,3497.530029296875,48596.78515625,10879.966796875,3022.56787109375,62314.9296875,16451.23046875,3597.139892578125,1157.9647216796875,2577.53955078125
2025-02-07,3076.933837890625,3463.718505859375,48339.55078125,10687.0947265625,2965.070556640625,62612.61328125,16068.185546875,3586.25732421875,1164.4088134765625,2598.382080078125
2025-02-10,3023.35302734375,3410.017333984375,47765.73046875,10815.67578125,2935.33056640625,61918.0234375,16087.8291015625,3575.374755859375,1176.8013916015625,2637.08984375
2025-02-12,3043.197998046875,3353.332763671875,48448.3828125,10860.1845703125,2995.8017578125,63069.0625,15906.1279296875,3578.3427734375,1180.2713623046875,2720.46044921875
2025-02-13,3076.933837890625,3391.12255859375,49863.1484375,11127.23828125,3082.0478515625,63813.265625,16264.6181640625,3279.570556640625,1192.6639404296875,2704.580322265625
2025-02-14,3054.1123046875,3684.4892578125,49091.45703125,11122.29296875,3052.307861328125,63029.37109375,16171.3125,3222.1904296875,1173.8271484375,2674.308837890625
2025-02-17,3066.019287109375,3835.64794921875,49269.5390625,11270.65625,3075.1083984375,64309.40625,16019.0771484375,3203.3935546875,1145.572021484375,2637.08984375
2025-02-18,3095.78662109375,3761.063232421875,48675.9296875,11325.0556640625,3079.07373046875,64497.9375,15842.2880859375,3222.1904296875,1117.8126220703125,2630.638671875
2025-02-19,3103.724365234375,3752.11279296875,47637.11328125,11631.673828125,3040.411865234375,63277.44140625,15699.8740234375,3182.617919921875,1122.27392578125,2759.66455078125
2025-02-20,3035.260009765625,3711.340087890625,47023.71875,11364.6201171875,2949.209228515625,62295.0859375,15665.4990234375,3098.5263671875,1115.829833984375,2757.183349609375
2025-02-21,2999.539306640625,3791.891357421875,46479.578125,11330.001953125,2933.84375,62215.703125,15685.1416015625,3151.94921875,1106.4114990234375,2800.357177734375
2025-02-25,2929.09033203125,3775.97998046875,45074.703125,11186.5830078125,2916.495361328125,61292.88671875,15891.396484375,3218.233154296875,1134.6666259765625,2778.02587890625
2025-02-26,2931.074951171875,3783.935791015625,45777.140625,10983.8203125,2894.68603515625,60588.37109375,15655.6767578125,3207.350830078125,1146.5634765625,2761.6494140625
2025-02-27,2958.857666015625,3796.86376953125,45966.09765625,11275.6025390625,2915.999755859375,60846.36328125,15807.912109375,3159.86376953125,1136.6494140625,2771.078369140625
2025-02-28,2870.54833984375,3718.301025390625,45220.21875,11038.2197265625,2854.041748046875,58951.1171875,15419.9580078125,3069.836181640625,1119.79541015625,2664.3837890625
2025-03-03,3016.4072265625,3692.445068359375,46711.9765625,10944.2578125,2972.505615234375,59933.46875,15694.962890625,3106.44091796875,1114.3427734375,2660.91015625
2025-03-04,3054.1123046875,3607.91552734375,46145.109375,11008.5478515625,2979.940673828125,60389.9140625,15984.701171875,3115.3447265625,1138.136474609375,2591.930908203125
2025-03-05,3070.98046875,3563.164794921875,46930.76953125,11053.056640625,3098.900390625,61620.33984375,16205.6884765625,3083.686767578125,1138.6322021484375,2643.541259765625
2025-03-06,3121.584716796875,3706.367431640625,47477.74609375,11260.765625,3199.024658203125,60637.984375,16637.83984375,3069.836181640625,1139.1279296875,2663.391357421875
2025-03-07,3013.4306640625,3549.2421875,45747.3046875,10222.2236328125,3085.021484375,59854.0859375,16667.3046875,3080.71875,1145.076416015625,2674.80517578125
2025-03-10,2917.183349609375,3438.856689453125,45409.17578125,9895.82421875,3005.715087890625,60389.9140625,16726.234375,3179.650146484375,1210.50927734375,2670.3388671875
2025-03-11,2827.8818359375,3370.23876953125,45548.40625,9945.2783203125,2856.024169921875,60171.6171875,16873.560546875,3083.686767578125,1198.6124267578125,2624.68359375
2025-03-12,2887.416259765625,3491.563232421875,45558.3515625,10049.1328125,2942.765625,60112.078125,16922.66796875,3095.55859375,1183.7413330078125,2674.80517578125
2025-03-13,2906.26904296875,3469.68505859375,45419.1171875,10068.9150390625,2964.574951171875,59665.5546875,16480.6953125,3080.71875,1183.7413330078125,2630.638671875
2025-03-14,3013.4306640625,3498.5244140625,45409.17578125,10152.986328125,2947.2265625,60925.7421875,16328.4580078125,2972.8837890625,1210.50927734375,2665.87255859375
2025-03-17,3087.8486328125,3569.131591796875,45170.4921875,10172.7685546875,3002.7412109375,60598.29296875,16416.853515625,2944.193603515625,1159.947509765625,2674.80517578125
2025-03-18,3139.445068359375,3630.788330078125,45667.74609375,10157.9326171875,3062.22119140625,60782.390625,16878.46875,2954.0869140625,1191.1768798828125,2699.617919921875
